name,label,label::French,region,village_name,supervisor
53,00053 - Dangali,00053 - Dangali,MARADI,Dangali,sup30
6,00006 - Danjiko,00006 - Danjiko,MARADI,Danjiko,sup14
51,00051 - Dantchiaco,00051 - Dantchiaco,MARADI,Dantchiaco,sup26
74,00074 - Daouya,00074 - Daouya,MARADI,Daouya,sup26
47,00047 - Dawdawa,00047 - Dawdawa,MARADI,Dawdawa,sup16
239,00239 - Dembebe,00239 - Dembebe,MARADI,Dembebe,sup17
152,00152 - Dodo Maradi,00152 - Dodo Maradi,MARADI,Dodo Maradi,sup14
128,00128 - Dogon Dawa,00128 - Dogon Dawa,MARADI,Dogon Dawa,sup28
309,00309 - Dogon Jima,00309 - Dogon Jima,MARADI,Dogon Jima,sup19
41,00041 - Dogon Makotchi,00041 - Dogon Makotchi,MARADI,Dogon Makotchi,sup15
18,00018 - Douma 2,00018 - Douma 2,MARADI,Douma 2,sup29
8,00008 - Dourgou,00008 - Dourgou,MARADI,Dourgou,sup14
302,00302 - Edo Gadania,00302 - Edo Gadania,MARADI,Edo Gadania,sup16
69,00069 - Eloum,00069 - Eloum,MARADI,Eloum,sup26
40,00040 - Fadadou,00040 - Fadadou,MARADI,Fadadou,sup16
268,00268 - Fadama,00268 - Fadama,MARADI,Fadama,sup22
180,00180 - Fagamniya,00180 - Fagamniya,MARADI,Fagamniya,sup27
106,00106 - Fara,00106 - Fara,MARADI,Fara,sup14
81,00081 - Farara,00081 - Farara,MARADI,Farara,sup26
260,00260 - Farou Bakoye,00260 - Farou Bakoye,MARADI,Farou Bakoye,sup23
232,00232 - G.Serkin Makira,00232 - G.Serkin Makira,MARADI,G.Serkin Makira,sup25
241,00241 - Gajiri Saboua,00241 - Gajiri Saboua,MARADI,Gajiri Saboua,sup19
4,00004 - Galoube,00004 - Galoube,MARADI,Galoube,sup18
252,00252 - Gangara,00252 - Gangara,MARADI,Gangara,sup22
118,00118 - Garin Aman Tinaou,00118 - Garin Aman Tinaou,MARADI,Garin Aman Tinaou,sup15
248,00248 - Garin Bara Gaoudare,00248 - Garin Bara Gaoudare,MARADI,Garin Bara Gaoudare,sup17
28,00028 - Garin Bizoo,00028 - Garin Bizoo,MARADI,Garin Bizoo,sup18
33,00033 - Garin koutoubo,00033 - Garin koutoubo,MARADI,Garin koutoubo,sup18
176,00176 - Garin Maroussa,00176 - Garin Maroussa,MARADI,Garin Maroussa,sup30
111,00111 - Garjagaou,00111 - Garjagaou,MARADI,Garjagaou,sup29
136,00136 - Gasawa,00136 - Gasawa,MARADI,Gasawa,sup22
157,00157 - Giudan Chadou,00157 - Giudan Chadou,MARADI,Giudan Chadou,sup29
314,314 - Goda Maynasara,314 - Goda Maynasara,MARADI,Goda Maynasara,sup17
48,00048 - Goda2- Guidan Kounao,00048 - Goda2- Guidan Kounao,MARADI,Goda2- Guidan Kounao,sup26
101,00101 - Gododji,00101 - Gododji,MARADI,Gododji,sup30
235,00235 - Goudougwa,00235 - Goudougwa,MARADI,Goudougwa,sup25
179,00179 - Gourbabo,00179 - Gourbabo,MARADI,Gourbabo,sup19
231,00231 - Gourgoumgao,00231 - Gourgoumgao,MARADI,Gourgoumgao,sup25
257,00257 - Guidan Abdou,00257 - Guidan Abdou,MARADI,Guidan Abdou,sup22
243,00243 - Guidan Abdou Maybarewa,00243 -Guidan Abdou Maybarewa,MARADI,Guidan Abdou Maybarewa,sup19
227,00227 - Guidan Agali,00227 - Guidan Agali,MARADI,Guidan Agali,sup28
197,00197 - Guidan Alley,00197 - Guidan Alley,MARADI,Guidan Alley,sup31
44,00044 - Guidan Aman,00044 - Guidan Aman,MARADI,Guidan Aman,sup15
258,00258 - Guidan Antou,00258 - Guidan Antou,MARADI,Guidan Antou,sup22
55,00055 - Guidan Arzika,00055 - Guidan Arzika,MARADI,Guidan Arzika,sup27
130,00130 - Guidan Atcha,00130 - Guidan Atcha,MARADI,Guidan Atcha,sup28
61,00061 - Guidan Atche,00061 - Guidan Atche,MARADI,Guidan Atche,sup28
230,00230 - Guidan Barouma,00230 - Guidan Barouma,MARADI,Guidan Barouma,sup25
135,00135 - Guidan Booka,00135 - Guidan Booka,MARADI,Guidan Booka,sup22
269,00269 - Guidan Bouja,00269 - Guidan Bouja,MARADI,Guidan Bouja,sup23
234,00234 - Guidan Boukari,00234 - Guidan Boukari,MARADI,Guidan Boukari,sup25
282,00282 - Guidan Bouzou,00282 - Guidan Bouzou,MARADI,Guidan Bouzou,sup30
119,00119 - Guidan Dan Osmane,00119 - Guidan Dan Osmane,MARADI,Guidan Dan Osmane,sup15
