name,label,label::French,label::English,region,department,commune,village_name,supervisors
184,00184 - Dan Banga,00184 - Dan Banga,00184 - Dan Banga,MARADI,mayahi,mayahi_south,Dan Banga,sup27
63,00063 - Dan Biri Maynasora,00063 - Dan Biri Maynasora,00063 - Dan Biri Maynasora,MARADI,dakoro,dan_goulbi,Dan Biri Maynasora,sup26
124,00124 - Dan Bouzowa,00124 - Dan Bouzowa,00124 - Dan Bouzowa,MARADI,dakoro,bader_goula,Dan Bouzowa,sup15
145,00145 - Dan Dada,00145 - Dan Dada,00145 - Dan Dada,MARADI,mayahi,mayahi_south,Dan Dada,sup27
68,00068 - Dan Daji,00068 - Dan Daji,00068 - Dan Daji,MARADI,dakoro,dakoro_south,Dan Daji,sup26
280,00280 - Dan Dawo,00280 - Dan Dawo,00280 - Dan Dawo,MARADI,mayahi,mayahi_west,Dan Dawo,sup23
241,00241 - Dan Falke,00241 - Dan Falke,00241 - Dan Falke,MARADI,dakoro,dan_goulbi,Dan Falke,sup17
245,00245 - Dan Faraou,00245 - Dan Faraou,00245 - Dan Faraou,MARADI,dakoro,dan_goulbi,Dan Faraou,sup17
276,00276 - Dan Farou,00276 - Dan Farou,00276 - Dan Farou,MARADI,mayahi,mayahi_west,Dan Farou,sup23
225,00225 - Dan Fouri,00225 - Dan Fouri,00225 - Dan Fouri,MARADI,tessaoua,ourafane_south,Dan Fouri,sup28
295,00295 - Dan Gadawa,00295 - Dan Gadawa,00295 - Dan Gadawa,MARADI,mayahi,mayahi,Dan Gadawa,sup20
131,00131 - Dan Gadou,00131 - Dan Gadou,00131 - Dan Gadou,MARADI,mayahi,mayahi_north,Dan Gadou,sup22
95,00095 - Dan Gambo,00095 - Dan Gambo,00095 - Dan Gambo,MARADI,dakoro,kornaka,Dan Gambo,sup19
171,00171 - Dan Gamji,00171 - Dan Gamji,00171 - Dan Gamji,MARADI,aguie,aguie,Dan Gamji,su77
200,00200 - Dan Gouiwa (May Soura),00200 - Dan Gouiwa (May Soura),00200 - Dan Gouiwa (May Soura),MARADI,tessaoua,tessaoua,Dan Gouiwa (May Soura),sup31
212,00212 - Dan Halbawa,00212 - Dan Halbawa,00212 - Dan Halbawa,MARADI,mayahi,mayahi,Dan Halbawa,sup21
38,00038 - Dan Kibia Goussoum,00038 - Dan Kibia Goussoum,00038 - Dan Kibia Goussoum,MARADI,aguie,tchadoua,Dan Kibia Goussoum,sup30
34,00034 - Dan Korai,00034 - Dan Korai,00034 - Dan Korai,MARADI,aguie,tchadoua,Dan Korai,sup30
93,00093 - Dan Madi,00093 - Dan Madi,00093 - Dan Madi,MARADI,dakoro,kornaka,Dan Madi,sup19
158,00158 - Dan Maigeri,00158 - Dan Maigeri,00158 - Dan Maigeri,MARADI,gazaoua,gazaoua,Dan Maigeri,sup14
54,00054 - Dan Maimouna,00054 - Dan Maimouna,00054 - Dan Maimouna,MARADI,aguie,tchadoua,Dan Maimouna,sup30
70,00070 - Dan Marke Gaya,00070 - Dan Marke Gaya,00070 - Dan Marke Gaya,MARADI,dakoro,dakoro_south,Dan Marke Gaya,sup26
